LOCATIE;AANPLANTINGSJAAR;COORDINAAT;KLOON;OMTREK15;STAMVORM;VORKHOOG;VORKMIDDEN;VORKLAAG;TAKHOEK;TAKDIKTE;NZWARETAKKEN;RANDBOOM;VORK;OMTREKResid;NZWARETAKKENResid;VORKHOOGResid;VORKMIDDENResid;VORKLAAGResid;VORKResid
AARTSELAAR;2008;1.21;Heirnisse4;43;2;0;1;0;1;2;14;NA;TRUE;-0,80230696;4,351156308;-0,476828906;1,243455192;-0,301447499;
AARTSELAAR;2008;1.20;Heirnisse4;40;3;0;0;0;1;2;5;NA;FALSE;-3,80230696;0,170169057;-0,476828906;-0,555788945;-0,301447499;-1,039012759
AARTSELAAR;2008;1.19;Heirnisse4;39;3;0;0;0;2;3;5;NA;FALSE;-4,80230696;0,170169057;-0,476828906;-0,555788945;-0,301447499;-1,039012759
AARTSELAAR;2008;1.18;Heirnisse4;45;3;0;1;0;1;2;4;NA;TRUE;1,19769304;-0,294385081;-0,476828906;1,243455192;-0,301447499;0,962452089
AARTSELAAR;2008;1.17;Heirnisse4;35;2;0;0;0;2;2;4;NA;FALSE;-8,80230696;-0,294385081;-0,476828906;-0,555788945;-0,301447499;-1,039012759
AARTSELAAR;2008;1.14;Heirnisse4;26;2;1;0;0;1;2;2;NA;TRUE;-17,80230696;-1,223493359;1,620359388;-0,555788945;-0,301447499;0,962452089
AARTSELAAR;2008;1.11;Everzwijnbad2;50;3;1;1;0;2;3;1;NA;TRUE;-6,764351045;-0,702986002;1,356298481;1,928228678;-0,212678855;1,148901817
AARTSELAAR;2008;1.10;Everzwijnbad2;36;2;1;0;0;1.5;2;3;NA;TRUE;-20,76435104;0,713978307;1,356298481;-0,424956019;-0,212678855;1,148901817
AARTSELAAR;2008;1.9;Ezemaal;28;3;0;0;0;2;3;0;NA;FALSE;-10,57096764;-0,496444881;-0,518848743;-0,257190862;-0,218046483;-0,703430907
AARTSELAAR;2008;1.8;Ophasseltbos;45;3;0;0;0;1;3;3;NA;FALSE;-16,72673376;0,618116284;-0,517309116;-0,355982636;-0,204213318;-0,772139628
AARTSELAAR;2008;1.6;Ezemaal;53;3;0;0;0;2;3;0;NA;FALSE;14,42903236;-0,496444881;-0,518848743;-0,257190862;-0,218046483;-0,703430907
AARTSELAAR;2008;1.5;Ezemaal;37;3;1;0;0;2;3;0;NA;TRUE;-1,570967639;-0,496444881;1,408495236;-0,257190862;-0,218046483;1,421603729
AARTSELAAR;2008;1.4;Everzwijnbad1;52;3;1;1;0;1.5;3;1;NA;TRUE;3,895209423;-0,59189905;1,456447724;1,806478539;-0,276925509;1,191923997
AARTSELAAR;2008;1.3;Schorisse;55;4;1;0;0;1;2;1;NA;TRUE;3,122638924;0,145442223;1,225471725;-0,41189749;-0,232508415;0,970418524
AARTSELAAR;2008;1.2;Everzwijnbad1;55;4;1;0;0;1;3;3;NA;TRUE;6,895209423;0,901949843;1,456447724;-0,444292243;-0,276925509;1,191923997
AARTSELAAR;2008;1.1;Everzwijnbad1;45;3;0;0;0;1;3;4;NA;FALSE;-3,104790577;1,64887429;-0,508833127;-0,444292243;-0,276925509;-0,838979668
AARTSELAAR;2008;2.26;Wissenbeemd;52;3;0;0;0;2;2;1;NA;FALSE;-3,225694813;-0,762365114;-0,501462105;-0,260455303;-0,174648961;-0,620110557
AARTSELAAR;2008;2.25;Wissenbeemd;61;2;0;1;0;2;2;0;NA;TRUE;5,774305187;-1,451369523;-0,501462105;3,578975066;-0,174648961;1,612615669
AARTSELAAR;2008;2.24;Heirnisse4;40;2;0;1;0;2;2;7;NA;TRUE;-3,80230696;1,099277335;-0,476828906;1,243455192;-0,301447499;0,962452089
AARTSELAAR;2008;2.23;Wissenbeemd;55;3;1;1;0;1;2;9;NA;TRUE;-0,225694813;4,749670158;1,492706529;3,578975066;-0,174648961;1,612615669
AARTSELAAR;2008;2.22;Wissenbeemd;64;3;0;0;0;2;2;0;NA;FALSE;8,774305187;-1,451369523;-0,501462105;-0,260455303;-0,174648961;-0,620110557
AARTSELAAR;2008;2.21;Wissenbeemd;53;3;0;0;0;2;2;0;NA;FALSE;-2,225694813;-1,451369523;-0,501462105;-0,260455303;-0,174648961;-0,620110557
AARTSELAAR;2008;2.20;Wissenbeemd;62;3;0;0;0;2;2;3;NA;FALSE;6,774305187;0,615643704;-0,501462105;-0,260455303;-0,174648961;-0,620110557
AARTSELAAR;2008;2.19;Heirnisse4;38;2;0;1;0;3;2;2;NA;TRUE;-5,80230696;-1,223493359;-0,476828906;1,243455192;-0,301447499;0,962452089
AARTSELAAR;2008;2.18;Heirnisse4;40;2;0;1;0;2;2;3;NA;TRUE;-3,80230696;-0,75893922;-0,476828906;1,243455192;-0,301447499;0,962452089
AARTSELAAR;2008;2.17;Heirnisse4;34;2;0;0;0;2;1;3;NA;FALSE;-9,80230696;-0,75893922;-0,476828906;-0,555788945;-0,301447499;-1,039012759
AARTSELAAR;2008;2.16;Heirnisse4;41;2;0;0;0;1;2;4;NA;FALSE;-2,80230696;-0,294385081;-0,476828906;-0,555788945;-0,301447499;-1,039012759
AARTSELAAR;2008;2.15;Heirnisse4;44;2;1;1;0;1;2;3;NA;TRUE;0,19769304;-0,75893922;1,620359388;1,243455192;-0,301447499;0,962452089
AARTSELAAR;2008;2.11;Everzwijnbad2;43;4;0;0;0;2;3;2;NA;FALSE;-13,76435104;0,005496153;-0,530108345;-0,424956019;-0,212678855;-0,870396395
AARTSELAAR;2008;2.10;Paulatem1;45;4;0;0;0;2;3;0;NA;FALSE;-7,195605994;-1,352275238;-0,567718291;-0,286352272;-0,217054494;-0,807949452
AARTSELAAR;2008;2.9;Ophasseltbos;62;2;0;0;0;2;1;6;NA;FALSE;0,273266242;2,686582547;-0,517309116;-0,355982636;-0,204213318;-0,772139628
AARTSELAAR;2008;2.8;Ezemaal;39;3;0;0;0;2;3;0;NA;FALSE;0,429032361;-0,496444881;-0,518848743;-0,257190862;-0,218046483;-0,703430907
AARTSELAAR;2008;2.7;Ezemaal;27;3;0;0;0;2;3;0;NA;FALSE;-11,57096764;-0,496444881;-0,518848743;-0,257190862;-0,218046483;-0,703430907
AARTSELAAR;2008;2.6;Ezemaal;36;3;1;0;0;2;3;0;NA;TRUE;-2,570967639;-0,496444881;1,408495236;-0,257190862;-0,218046483;1,421603729
AARTSELAAR;2008;2.5;Ezemaal;38;3;0;0;0;2;3;0;NA;FALSE;-0,570967639;-0,496444881;-0,518848743;-0,257190862;-0,218046483;-0,703430907
AARTSELAAR;2008;2.4;Ophasseltbos;71;3;0;0;0;2;2;3;NA;FALSE;9,273266242;0,618116284;-0,517309116;-0,355982636;-0,204213318;-0,772139628
AARTSELAAR;2008;2.3;Ophasseltbos;65;3;0;0;0;2;2;3;NA;FALSE;3,273266242;0,618116284;-0,517309116;-0,355982636;-0,204213318;-0,772139628
AARTSELAAR;2008;2.2;Everzwijnbad1;44;3;0;0;0;1;3;1;NA;FALSE;-4,104790577;-0,59189905;-0,508833127;-0,444292243;-0,276925509;-0,838979668
AARTSELAAR;2008;2.1;Heirnisse1;85;2;0;1;1;1;1;13;NA;TRUE;31,78315086;6,965454204;-0,556573709;1,625476111;3,09685665;0,993928174
AARTSELAAR;2008;3.26;Vorsdonkbos1;43;3;0;0;0;2;2;0;NA;FALSE;-2,690018671;-1,399545459;-0,465386191;-0,266480816;-0,32939089;-0,708642513
